"小テストタイトル","第1回（小テストタイトル）#00001"
"合格点数","0"
"制限時間","0"
"公開予定日時(年/月/日 時:分)",""
"締切予定日時(年/月/日 時:分)",""
"選択肢の表示方法","3"
"選択肢の並び順","0"
"点数の公開","1"
"解説の公開","1"
"正解の公開","1"
"小テストの全体的な解説","お疲れ様でした．不正解があっても前向きに捉えましょう．効果的な復習のチャンスです！"
""
"回答形式","radio"
"配点","2"
"問題文","空欄[1]に該当するものを選びなさい．"
"正解1","1"
"選択肢1","(a)"
"選択肢2","(b)"
"選択肢3","(c)"
"選択肢4","(d)"
"選択肢5","(e)"
"選択肢6","(f)"
"選択肢7","(g)"
""
"回答形式","radio"
"配点","2"
"問題文","空欄[2]に該当するものを選びなさい．"
"正解1","6"
"選択肢1","(a)"
"選択肢2","(b)"
"選択肢3","(c)"
"選択肢4","(d)"
"選択肢5","(e)"
"選択肢6","(f)"
"選択肢7","(g)"
""
"回答形式","radio"
"配点","2"
"問題文","空欄[3]に該当するものを選びなさい．"
"正解1","4"
"選択肢1","(a)"
"選択肢2","(b)"
"選択肢3","(c)"
"選択肢4","(d)"
"選択肢5","(e)"
"選択肢6","(f)"
"選択肢7","(g)"
""
"回答形式","radio"
"配点","2"
"問題文","空欄[4]に該当するものを選びなさい．"
"正解1","5"
"選択肢1","(a)"
"選択肢2","(b)"
"選択肢3","(c)"
"選択肢4","(d)"
"選択肢5","(e)"
"選択肢6","(f)"
"選択肢7","(g)"
